FaceID,Batch,Shotcrete_Layer,Spray_Time,Air_Temp,Shotcrete_Temp,Shotcrete_Blend,15M_MPa,30M_MPa,60M_MPa,90M_MPa,120M_MPa,150M_Mpa,180M_Mpa,240M_Mpa,270M_Mpa,300M_Mpa
RUP_1000_818_DEC_22,1,1,22:55:00,-2.0,,,,0.65,,0.88,1,,,,,
RUP_1075_662_DEC_44,1 & 2 & 3 ,2,05:15:00,-2.0,,,,0.71,0.89,,,,,,,
RUP_1000_818_DEC_22,2 & 3 & 4,2,20:45:00,4.0,,,,,,0.51,,0.89,,,,
RUP_1075_662_DEC_45,1,1,00:00:00,4.0,,,,,,,1,,,,,
RUP_1000_818_DEC_23,1,1,12:10:00,7.0,,,,,0.77,1.04,,,,,,
RUP_1000_818_DEC_23,2 & 3 & 4,2,12:30:00,0.0,,,,,0.92,,,,,,,
RUP_1000_818_DEC_24,1,1,19:30:00,0.0,,,,,0.93,1,,,,,,
RUP_1075_662_DEC_47,1,1,12:02:00,1.0,,,,0.39,0.55,,,,,0.71,,
RUP_1000_818_DEC_24,2 & 3 & 4,2,08:45:00,-2.0,,,,0.61,0.8,,,,,,,
RUP_1075_662_DEC_47,2 & 3,2,1900-01-21 00:00:00,-1.0,,,,,0.58,,0.7,,0.8,,,
RUP_1075_662_DEC_48,1,1,18:30:00,-4.0,,,,,0.55,,,,,0.89,,
RUP_1000_818_DEC_25,1 & 2,1,03:50:00,-3.0,,,,,0.66,,0.94,1.02,,,,
RUP_1075_662_DEC_48,2 & 3,2,09:30:00,-3.0,,,,,0.62,0.63,0.7,0.81,,,,
RUP_1000_818_DEC_25,3 & 4,2,16:00:00,-2.0,,,,,0.92,,,,,,,
RUP_1075_662_DEC_49,1,1,07:30:00,0.0,,,,,0.51,0.68,0.74,,1.07,,,
RUP_1075_662_DEC_49,2,2,22:45:00,3.0,,,,0.98,,,,,,,,
RUP_1000_818_DEC_26,1,1,1900-01-18 07:12:00,3.0,,,,,1.02,,,,,,,
RUP_1075_662_DEC_50,1,1,21:05:00,2.0,,,,,0.66,,1.02,,,,,
RUP_1000_818_DEC_26,3 & 4 & 5,2,07:50:00,3.0,,,,,0.82,,,,,,,
RUP_1075_662_DEC_50,2 & 3,2,11:05:00,4.0,,,,0.52,,0.82,,,,,,
RUP_1075_662_DEC_51,1 & 2,1,04:05:00,0.0,,,,,1.07,,,,,,,
RUP_1000_818_DEC_28,2 & 3,2,19:00:00,0.0,,,,,0.88,1.03,,,,,,
RUP_1000_818_DEC_28,4 & 5 & 6,2,05:15:00,-4.0,,,,,0.85,,1,,,,,
RUP_1000_818_DEC_29,2 & 3 & 4 & 5,2,13:00:00,-3.0,,,,0.82,,1.29,,,,,,
RUP_1075_662_DEC_53,4 & 5 & 6,2,12:35:00,,,,,,,,,,1.09,,,
RUP_1000_818_DEC_30,2 & 3,2,06:50:00,-6.0,,,,0.46,,,,1.01,,,,
RUP_1075_662_DEC_54,2 & 3 & 4,2,13:05:00,-2.0,,,,,0.57,,0.81,,1.04,,,
RUP_1000_818_DEC_31,3 & 4 ,2,23:15:00,-2.0,,,,,,1.03,,,,,,
RUP_1075_662_DEC_55,1,1,09:20:00,-3.0,,,,,0.93,,,,,,,
RUP_975_761_SUB_02,2 & 3,2,09:35:00,-1.0,,,,,,0.55,,,1,,,
RUP_1075_662_DEC_55,2 & 3,2,02:20:00,-7.0,,,,0.61,0.74,1.01,,,,,,
RUP_1000_818_DEC_32,1,1,14:30:00,2.0,,,,0.68,,,,,,,,
RUP_1000_818_DEC_32,2 & 3,2,01:05:00,-6.0,,,,,,1.01,,,,,,
RUP_1075_662_DEC_56,1,1,14:30:00,4.0,,,,0.55,,,,,,,,
RUP_1075_662_DEC_56,2&3,2,,1.0,,,,,1.08,,,,,,,
RUP_1075_630_ACC_01,1&2,1,12:10:00,-9.0,,,,0.51,,,,,,,,
RUP_1000_818_DEC_33,4,2,14:55:00,-9.0,,,,0.74,,1.11,,,,,,
RUP_975_761_SUB_03,1&2&3,2,22:45:00,-8.0,,,,0.72,,,1.02,,,,,
RUP_1075_630_ACC_01,3&4&5,2,20:30:00,-10.0,,,,0.75,1.02,,,,,,,
RUP_1075_662_DEC_57,2&3,2,02:45:00,-7.0,,,,,0.85,,1.01,,,,,
RUP_1000_818_DEC_34,2&3&4&5,2,18:30:00,-6.0,,,,,1,,,,,,,
RUP_1075_630_ACC_02,2,1,01:30:00,-9.0,,,,0.56,,,,,,,,
RUP_1075_662_DEC_58,1,1,04:00:00,-9.0,,,,0.57,,,,,,,,
RUP_1075_662_DEC_58,2&3,2,14:00:00,-4.0,,,,,0.87,0.98,,,0.77,0.83,,
RUP_1075_662_DEC_58,4,2,02:30:00,-10.0,,,,,0.72,1.11,,,,,,
RUP_1075_630_ACC_03,3&4,2,08:00:00,-9.0,,,,,0.56,,0.75,,0.9,1.02,,
RUP_1000_818_DEC_35,2&3,2,23:00:00,1.0,,,,,,0.71,1.01,,,,,
RUP_1075_662_DEC_59,2&3,2,21:15:00,-3.0,,,,,1.05,,,,,,,
RUP_1000_818_DEC_36,2&3,2,09:10:00,2.0,,,,,0.58,,0.75,,1,,,
RUP_1000_818_DEC_37,2$3,2,19:30:00,-2.0,,,,,0.89,0.97,1.07,,,,,
RUP_1075_662_DEC_60,2 & 3,2,06:20:00,-3.0,,,,0.64,,,0.83,,0.99,,,
RUP_1075_630_ACC_04,2,2,12:30:00,0.0,,,,,0.75,,0.93,,1.03,,,
RUP_1000_818_DEC_38,2&3,2,19:30:00,1.0,,,,,1.07,,,,,,,
RUP_1075_662_DEC_61,2 & 3 & 4,2,15:30:00,3.0,,,,,,1.16,,,,,,
RUP_1000_818_DEC_39,2,2,01:45:00,2.0,,,,,0.49,,0.72,,0.76,0.76,,
RUP_1000_818_DEC_39,3,2,11:45:00,4.0,,,0.49,0.7,,0.8,,1.09,,,,
RUP_1075_662_DEC_62,2&3,2,04:30:00,2.0,,,,,0.78,,1.06,,,,,
RUP_1000_818_DEC_40,2&3,2,02:05:00,-3.0,,,,,0.9,1.05,,,,,,
RUP_1075_630_ACC_04,3,SANACIJA,17:30:00,1.0,,,,,,0.77,,,0.99,,,
RUP_1075_662_DEC_63,2 & 3,1,05:15:00,-1.0,,,,,1.03,,,,,,,
RUP_1000_818_DEC_41,2 & 3,2,10:15:00,14.0,,,,,0.6,,0.69,,0.76,0.83,,
RUP_1000_818_DEC_41,4,2,02:30:00,-1.0,,,,,0.76,1.04,,,,,,
RUP_1075_662_DEC_64,2 & 3,2,05:20:00,0.0,,,,,0.39,,,,0.95,1.11,,
RUP_1000_818_DEC_42,2 & 3,2,13:00:00,13.0,,,,,,,1.05,,,,,
RUP_1000_818_DEC_43,2&3&4,2,23:50:00,7.0,,,,,1.1,,,,,,,
RUP_1075_662_DEC_65,3&4,2,07:00:00,3.0,,,,0.35,,,,,1.07,,,
RUP_1075_630_ACC_04,8 & 9 ,2,05:05:00,-1.0,,,,,0.62,,0.92,1.06,,,,
RUP_1075_662_DEC_66,2&3,2,19:30:00,-3.0,,,,,0.5,,0.68,,0.87,1.04,,
RUP_1000_818_DEC_44,9 & 10 & 11,2,03:15:00,-2.0,,,,,0.83,,1.04,,,,,
RUP_1075_662_DEC_67,2&3,2,18:15:00,2.0,,,,,0.75,,1.08,,,,,
RUP_1000_818_DEC_44,16&17,2,21:30:00,1.0,,,,,0.98,1.05,,,,,,
RUP_1075_630_ACC_05,3,2,00:50:00,0.0,,,,,0.62,,,,,0.69,,
RUP_1075_630_ACC_05,4,2,11:15:00,0.0,,,,,,,1.04,,,,,
